shift,multiply,caesar,multiplicative,result
4,17,ckp yf wyp wt plap cxahk qwal,yel ix ail ab lvql yrqfe caqv,yel ix ail ab lvql yrqfe caqv
5,17,dlq zg xzq xu qmbq dybil rxbm,pvc zo rzc rs cmhc pihwv trhm,pvc zo rzc rs cmhc pihwv trhm
6,17,emr ah yar yv rncr ezcjm sycn,gmt qf iqt ij tdyt gzynm kiyd,gmt qf iqt ij tdyt gzynm kiyd
7,17,fns bi zbs zw sods fadkn tzdo,xdk hw zhk za kupk xqped bzpu,xdk hw zhk za kupk xqped bzpu
8,17,got cj act ax tpet gbelo uaep,oub yn qyb qr blgb ohgvu sqgl,oub yn qyb qr blgb ohgvu sqgl
9,17,hpu dk bdu by uqfu hcfmp vbfq,fls pe hps hi scxs fyxml jhxc,fls pe hps hi scxs fyxml jhxc
10,17,iqv el cev cz vrgv idgnq wcgr,wcj gv ygj yz jtoj wpodc ayot,wcj gv ygj yz jtoj wpodc ayot
11,17,jrw fm dfw da wshw jehor xdhs,nta xm pxa pq akfa ngfut rpfk,nta xm pxa pq akfa ngfut rpfk
12,17,ksx gn egx eb xtix kfips yeit,ekr od gor gh rbwr exwlk igwb,ekr od gor gh rbwr exwlk igwb
14,17,muz ip giz gd zvkz mhkru agkv,msz wl owz op zjez mfets qoej,msz wl owz op zjez mfets qoej
15,17,nva jq hja he awla nilsv bhlw,djq nc fnq fg qavq dwvkj hfva,djq nc fnq fg qavq dwvkj hfva
16,17,owb kr ikb if bxmb ojmtw cimx,uah et weh wx hrmh unmba ywmr,uah et weh wx hrmh unmba ywmr
17,17,pxc ls jlc jg cync pknux djny,lry vk nvy no yidy ledsr pndi,lry vk nvy no yidy ledsr pndi
18,17,qyd mt kmd kh dzod qlovy ekoz,cip mb emp ef pzup cvuji geuz,cip mb emp ef pzup cvuji geuz
19,17,rze nu lne li eape rmpwz flpa,tzg ds vdg vw gqlg tmlaz xvlq,tzg ds vdg vw gqlg tmlaz xvlq
20,17,saf ov mof mj fbqf snqxa gmqb,kqx uj mux mn xhcx kdcrq omch,kqx uj mux mn xhcx kdcrq omch
21,17,tbg pw npg nk gcrg toryb hnrc,bho la dlo de oyto butih fdty,bho la dlo de oyto butih fdty
22,17,uch qx oqh ol hdsh upszc iosd,syf cr ucf uv fpkf slkzy wukp,syf cr ucf uv fpkf slkzy wukp
23,17,vdi ry pri pm ieti vqtad jpte,jpw ti ltw lm wgbw jcbqp nlbg,jpw ti ltw lm wgbw jcbqp nlbg
24,17,wej sz qsj qn jfuj wrube kquf,agn kz ckn cd nxsn atshg ecsx,agn kz ckn cd nxsn atshg ecsx
25,17,xfk ta rtk ro kgvk xsvcf lrvg,rxe bq tbe tu eoje rkjyx vtjo,rxe bq tbe tu eoje rkjyx vtjo
1,19,zhm vc tvm tq mixm zuxeh ntxi,zvm be pbm pk monm zinqv fpno,zvm be pbm pk monm zinqv fpno
2,19,ain wd uwn ur njyn avyfi ouyj,sof ux iuf id fhgf sbgjo yigh,sof ux iuf id fhgf sbgjo yigh
3,19,bjo xe vxo vs okzo bwzgj pvzk,lhy nq bny bw yazy luzch rbza,lhy nq bny bw yazy luzch rbza
4,19,ckp yf wyp wt plap cxahk qwal,ear gj ugr up rtsr ensva kust,ear gj ugr up rtsr ensva kust
5,19,dlq zg xzq xu qmbq dybil rxbm,xtk zc nzk ni kmlk xglot dnlm,xtk zc nzk ni kmlk xglot dnlm
6,19,emr ah yar yv rncr ezcjm sycn,qmd sv gsd gb dfed qzehm wgef,qmd sv gsd gb dfed qzehm wgef
7,19,fns bi zbs zw sods fadkn tzdo,jfw lo zlw zu wyxw jsxaf pzxy,jfw lo zlw zu wyxw jsxaf pzxy
8,19,got cj act ax tpet gbelo uaep,cyp eh sep sn prqp clqty isqr,cyp eh sep sn prqp clqty isqr
9,19,hpu dk bdu by uqfu hcfmp vbfq,vri xa lxi lg ikji vejmr bljk,vri xa lxi lg ikji vejmr bljk
10,19,iqv el cev cz vrgv idgnq wcgr,okb qt eqb ez bdcb oxcfk uecd,okb qt eqb ez bdcb oxcfk uecd
11,19,jrw fm dfw da wshw jehor xdhs,hdu jm xju xs uwvu hqvyd nxvw,hdu jm xju xs uwvu hqvyd nxvw
12,19,ksx gn egx eb xtix kfips yeit,awn cf qcn ql npon ajorw gqop,awn cf qcn ql npon ajorw gqop
14,19,muz ip giz gd zvkz mhkru agkv,miz or coz cx zbaz mvadi scab,miz or coz cx zbaz mvadi scab
15,19,nva jq hja he awla nilsv bhlw,fbs hk vhs vq suts fotwb lvtu,fbs hk vhs vq suts fotwb lvtu
16,19,owb kr ikb if bxmb ojmtw cimx,yul ad oal oj lnml yhmpu eomn,yul ad oal oj lnml yhmpu eomn
17,19,pxc ls jlc jg cync pknux djny,rne tw hte hc egfe rafin xhfg,rne tw hte hc egfe rafin xhfg
18,19,qyd mt kmd kh dzod qlovy ekoz,kgx mp amx av xzyx ktybg qayz,kgx mp amx av xzyx ktybg qayz
19,19,rze nu lne li eape rmpwz flpa,dzq fi tfq to qsrq dmruz jtrs,dzq fi tfq to qsrq dmruz jtrs
20,19,saf ov mof mj fbqf snqxa gmqb,wsj yb myj mh jlkj wfkns cmkl,wsj yb myj mh jlkj wfkns cmkl
21,19,tbg pw npg nk gcrg toryb hnrc,plc ru frc fa cedc pydgl vfde,plc ru frc fa cedc pydgl vfde
22,19,uch qx oqh ol hdsh upszc iosd,iev kn ykv yt vxwv irwze oywx,iev kn ykv yt vxwv irwze oywx
23,19,vdi ry pri pm ieti vqtad jpte,bxo dg rdo rm oqpo bkpsx hrpq,bxo dg rdo rm oqpo bkpsx hrpq
24,19,wej sz qsj qn jfuj wrube kquf,uqh wz kwh kf hjih udilq akij,uqh wz kwh kf hjih udilq akij
25,19,xfk ta rtk ro kgvk xsvcf lrvg,nja ps dpa dy acba nwbej tdbc,nja ps dpa dy acba nwbej tdbc
1,21,zhm vc tvm tq mixm zuxeh ntxi,zlm tk dtm ds mgjm zyjal hdjg,zlm tk dtm ds mgjm zyjal hdjg
2,21,ain wd uwn ur njyn avyfi ouyj,ugh of yoh yn hbeh utevg cyeb,ugh of yoh yn hbeh utevg cyeb
3,21,bjo xe vxo vs okzo bwzgj pvzk,pbc ja tjc ti cwzc pozqb xtzw,pbc ja tjc ti cwzc pozqb xtzw
4,21,ckp yf wyp wt plap cxahk qwal,kwx ev oex od xrux kjulw sour,kwx ev oex od xrux kjulw sour
5,21,dlq zg xzq xu qmbq dybil rxbm,frs zq jzs jy smps fepgr njpm,frs zq jzs jy smps fepgr njpm
6,21,emr ah yar yv rncr ezcjm sycn,amn ul eun et nhkn azkbm iekh,amn ul eun et nhkn azkbm iekh
7,21,fns bi zbs zw sods fadkn tzdo,vhi pg zpi zo icfi vufwh dzfc,vhi pg zpi zo icfi vufwh dzfc
8,21,got cj act ax tpet gbelo uaep,qcd kb ukd uj dxad qparc yuax,qcd kb ukd uj dxad qparc yuax
9,21,hpu dk bdu by uqfu hcfmp vbfq,lxy fw pfy pe ysvy lkvmx tpvs,lxy fw pfy pe ysvy lkvmx tpvs
10,21,iqv el cev cz vrgv idgnq wcgr,gst ar kat kz tnqt gfqhs okqn,gst ar kat kz tnqt gfqhs okqn
11,21,jrw fm dfw da wshw jehor xdhs,bno vm fvo fu oilo balcn jfli,bno vm fvo fu oilo balcn jfli
12,21,ksx gn egx eb xtix kfips yeit,wij qh aqj ap jdgj wvgxi eagd,wij qh aqj ap jdgj wvgxi eagd
14,21,muz ip giz gd zvkz mhkru agkv,myz gx qgz qf ztwz mlwny uqwt,myz gx qgz qf ztwz mlwny uqwt
15,21,nva jq hja he awla nilsv bhlw,htu bs lbu la uoru hgrit plro,htu bs lbu la uoru hgrit plro
16,21,owb kr ikb if bxmb ojmtw cimx,cop wn gwp gv pjmp cbmdo kgmj,cop wn gwp gv pjmp cbmdo kgmj
17,21,pxc ls jlc jg cync pknux djny,xjk ri brk bq kehk xwhyj fbhe,xjk ri brk bq kehk xwhyj fbhe
18,21,qyd mt kmd kh dzod qlovy ekoz,sef md wmf wl fzcf srcte awcz,sef md wmf wl fzcf srcte awcz
19,21,rze nu lne li eape rmpwz flpa,nza hy rha rg auxa nmxoz vrxu,nza hy rha rg auxa nmxoz vrxu
20,21,saf ov mof mj fbqf snqxa gmqb,iuv ct mcv mb vpsv ihsju qmsp,iuv ct mcv mb vpsv ihsju qmsp
21,21,tbg pw npg nk gcrg toryb hnrc,dpq xo hxq hw qknq dcnep lhnk,dpq xo hxq hw qknq dcnep lhnk
